"","SampleID","day","month","year","Time","Area","Site","Plot","Depth_cm","date","Al_ug_mL","Ca_ug_mL","Fe_ug_mL","K_ug_mL","Mg_ug_mL","Mn_ug_mL","Na_ug_mL","P_ug_mL"
"179","PhIr2022-183","17","September","2022","11:10","acidic tundra","Wet",2,0,2022-09-17,1,8.4,9,0.8,1.2,4.2,0.6,0.05
"180","PhIr2022-184","17","September","2022","11:05","acidic tundra","Wet",2,10,2022-09-17,0.9,13.5,30.9,0.4,1.9,3.4,0.4,0.05
"181","PhIr2022-185","17","September","2022","10:30","acidic tundra","Wet",3,0,2022-09-17,0.9,6.6,6.7,0.7,0.9,1.6,0.6,0.05
"182","PhIr2022-186","17","September","2022","10:30","acidic tundra","Wet",3,10,2022-09-17,0.9,20.4,107,1.2,3.7,70.8,0.4,0.05
"183","PhIr2022-187","23","September","2022","11:50","non-acidic tundra","Mesic",3,10,2022-09-23,2.3,9.5,2.7,0.4,1.2,0.9,0.4,0.05
"184","PhIr2022-188","23","September","2022","12:30","non-acidic tundra","Wet",2,10,2022-09-23,485,207,3.5,0.4,5.6,0.2,9.5,0.05
"185","PhIr2022-189","23","September","2022","12:40","non-acidic tundra","Wet",2,0,2022-09-23,0.1,16.9,0.7,0.2,2.2,0.2,0.4,0.05
"186","PhIr2022-190","23","September","2022","12:50","non-acidic tundra","Wet",2,40,2022-09-23,407,81.7,6.5,0.2,3.2,0.6,6.8,0.05
"187","PhIr2022-191","23","September","2022","12:40","non-acidic tundra","Wet",2,20,2022-09-23,139,363,3,0.3,6.6,0.3,7.7,0.1
"188","PhIr2022-192","23","September","2022","13:05","non-acidic tundra","Wet",3,40,2022-09-23,0.2,35.2,5.2,0.1,3.6,1,0.5,0.05
